Timestamp,Model,Request tokens,Response tokens,Total tokens,Log Type
32820,ChatGPT,42,1362,1404,Conversation log
32915,ChatGPT,1877,455,2332,Conversation log
32946,ChatGPT,12,391,403,Conversation log
33017,ChatGPT,302,119,421,Conversation log
33035,ChatGPT,447,639,1086,Conversation log
33042,ChatGPT,10,3,13,Conversation log
33068,ChatGPT,26,67,93,Conversation log
33072,ChatGPT,103,16,119,Conversation log
33099,ChatGPT,0,0,0,Conversation log
33111,ChatGPT,1737,300,2037,Conversation log
33206,ChatGPT,22,416,438,Conversation log
33312,ChatGPT,111,1158,1269,Conversation log
33313,ChatGPT,100,104,204,Conversation log
33324,ChatGPT,1416,586,2002,Conversation log
33371,ChatGPT,39,1238,1277,Conversation log
33407,ChatGPT,22,287,309,Conversation log
33411,ChatGPT,13,4,17,Conversation log
33413,ChatGPT,405,256,661,Conversation log
33437,ChatGPT,38,19,57,Conversation log
33454,ChatGPT,708,44,752,Conversation log
33481,ChatGPT,963,109,1072,Conversation log
33509,ChatGPT,1276,266,1542,Conversation log
33510,ChatGPT,1065,524,1589,Conversation log
33527,ChatGPT,271,54,325,Conversation log
33581,ChatGPT,1314,1903,3217,Conversation log
33602,ChatGPT,337,356,693,Conversation log
33632,ChatGPT,123,261,384,Conversation log
33632,ChatGPT,387,58,445,Conversation log
33637,ChatGPT,102,36,138,Conversation log
33696,ChatGPT,854,350,1204,Conversation log
33747,ChatGPT,522,65,587,Conversation log
33784,ChatGPT,916,484,1400,Conversation log
33810,ChatGPT,603,6,609,Conversation log
33850,ChatGPT,628,495,1123,Conversation log
33866,ChatGPT,31,26,57,Conversation log
34015,ChatGPT,16,421,437,Conversation log
34016,ChatGPT,1640,664,2304,Conversation log
34035,ChatGPT,1232,438,1670,Conversation log
34050,ChatGPT,489,92,581,Conversation log
34068,ChatGPT,40,1092,1132,Conversation log
34069,ChatGPT,461,496,957,Conversation log
34076,ChatGPT,362,155,517,Conversation log
34087,ChatGPT,149,3,152,Conversation log
34100,ChatGPT,1540,35,1575,Conversation log
34102,GPT-4,974,513,1487,Conversation log
34105,ChatGPT,541,201,742,Conversation log
34117,ChatGPT,954,51,1005,Conversation log
34126,ChatGPT,930,92,1022,Conversation log
34129,ChatGPT,34,15,49,Conversation log
34139,ChatGPT,1169,2019,3188,Conversation log
34146,GPT-4,1512,368,1880,Conversation log
34173,ChatGPT,1994,570,2564,Conversation log
34173,ChatGPT,489,338,827,Conversation log
34193,ChatGPT,72,19,91,Conversation log
34246,ChatGPT,1692,401,2093,Conversation log
34257,ChatGPT,849,5,854,Conversation log
34271,ChatGPT,490,27,517,Conversation log
34273,ChatGPT,205,144,349,Conversation log
34278,ChatGPT,1390,260,1650,Conversation log
34291,ChatGPT,547,302,849,Conversation log
34294,GPT-4,32,262,294,Conversation log
34320,ChatGPT,1021,335,1356,Conversation log
34323,ChatGPT,122,376,498,Conversation log
34347,ChatGPT,1844,233,2077,Conversation log
34352,ChatGPT,98,33,131,Conversation log
34384,ChatGPT,436,31,467,Conversation log
34405,ChatGPT,30,294,324,Conversation log
34420,ChatGPT,55,34,89,Conversation log
34444,ChatGPT,16,199,215,Conversation log
34525,ChatGPT,704,331,1035,Conversation log
34534,ChatGPT,71,731,802,Conversation log
34542,ChatGPT,47,32,79,Conversation log
34560,ChatGPT,1298,630,1928,Conversation log
34601,GPT-4,15,115,130,Conversation log
34615,GPT-4,145,314,459,Conversation log
34640,ChatGPT,0,0,0,Conversation log
34680,GPT-4,477,297,774,Conversation log
34746,GPT-4,189,253,442,Conversation log
34758,ChatGPT,418,95,513,Conversation log
34770,GPT-4,585,26,611,Conversation log
34802,GPT-4,757,211,968,Conversation log
34818,ChatGPT,705,299,1004,Conversation log
34824,GPT-4,203,200,403,Conversation log
34832,ChatGPT,17,114,131,Conversation log
34868,ChatGPT,22,29,51,Conversation log
34876,ChatGPT,210,416,626,Conversation log
34890,GPT-4,978,197,1175,Conversation log
34896,GPT-4,188,181,369,Conversation log
34911,GPT-4,226,362,588,Conversation log
34919,ChatGPT,16,18,34,Conversation log
34928,ChatGPT,45,14,59,Conversation log
34943,GPT-4,163,19,182,Conversation log
34976,ChatGPT,0,0,0,Conversation log
34986,ChatGPT,1258,384,1642,Conversation log
34988,ChatGPT,1956,353,2309,Conversation log
34995,GPT-4,389,221,610,Conversation log
35016,ChatGPT,1046,395,1441,Conversation log
35056,ChatGPT,867,30,897,Conversation log
35087,ChatGPT,145,618,763,Conversation log
35096,GPT-4,603,339,942,Conversation log
35132,GPT-4,19,380,399,Conversation log
35134,ChatGPT,870,80,950,Conversation log
35138,ChatGPT,72,13,85,Conversation log
35142,ChatGPT,963,90,1053,Conversation log
35149,GPT-4,33,82,115,Conversation log
35156,GPT-4,342,231,573,Conversation log
35161,GPT-4,161,22,183,Conversation log
35168,GPT-4,419,385,804,Conversation log
35178,ChatGPT,244,149,393,Conversation log
35184,ChatGPT,66,36,102,Conversation log
35220,ChatGPT,162,14,176,Conversation log
35227,GPT-4,210,17,227,Conversation log
35235,ChatGPT,862,214,1076,Conversation log
35244,ChatGPT,263,17,280,Conversation log
35246,ChatGPT,168,35,203,Conversation log
35258,ChatGPT,1122,59,1181,Conversation log
35260,ChatGPT,1036,13,1049,Conversation log
35266,ChatGPT,353,15,368,Conversation log
35293,ChatGPT,354,342,696,Conversation log
35319,ChatGPT,302,887,1189,Conversation log
35369,ChatGPT,723,541,1264,Conversation log
35370,ChatGPT,1202,157,1359,Conversation log
35374,GPT-4,466,60,526,Conversation log
35403,ChatGPT,217,241,458,Conversation log
35410,ChatGPT,25,57,82,Conversation log
35415,ChatGPT,1360,702,2062,Conversation log
35426,ChatGPT,70,82,152,Conversation log
35429,ChatGPT,10,111,121,Conversation log
35453,ChatGPT,140,98,238,Conversation log
35459,ChatGPT,20,556,576,Conversation log
35520,ChatGPT,590,93,683,Conversation log
35541,ChatGPT,308,151,459,Conversation log
35576,GPT-4,58,26,84,Conversation log
35611,ChatGPT,35,12,47,Conversation log
35647,ChatGPT,74,19,93,Conversation log
35746,ChatGPT,15,38,53,Conversation log
35761,ChatGPT,0,0,0,Conversation log
35776,ChatGPT,396,333,729,Conversation log
35788,ChatGPT,247,506,753,Conversation log
35796,ChatGPT,757,356,1113,Conversation log
35816,GPT-4,45,32,77,Conversation log
35837,GPT-4,273,25,298,Conversation log
35861,ChatGPT,274,442,716,Conversation log
35876,ChatGPT,1130,812,1942,Conversation log
35894,GPT-4,820,26,846,Conversation log
35898,GPT-4,788,188,976,Conversation log
35921,ChatGPT,18,412,430,Conversation log
35954,ChatGPT,179,329,508,Conversation log
35975,ChatGPT,19,38,57,Conversation log
36021,ChatGPT,23,27,50,Conversation log
36025,ChatGPT,1286,16,1302,Conversation log
36043,ChatGPT,535,297,832,Conversation log
36055,ChatGPT,17,7,24,Conversation log
36069,ChatGPT,36,24,60,Conversation log
36074,ChatGPT,992,15,1007,Conversation log
36097,GPT-4,695,16,711,Conversation log
36114,ChatGPT,36,238,274,Conversation log
36116,GPT-4,146,299,445,Conversation log
36121,GPT-4,149,256,405,Conversation log
36165,ChatGPT,73,273,346,Conversation log
36173,GPT-4,985,74,1059,Conversation log
36195,ChatGPT,18,457,475,Conversation log
36246,GPT-4,1958,737,2695,Conversation log
36282,GPT-4,36,505,541,Conversation log
36286,ChatGPT,66,17,83,Conversation log
36308,ChatGPT,88,300,388,Conversation log
36309,ChatGPT,203,285,488,Conversation log
36343,ChatGPT,232,514,746,Conversation log
36352,GPT-4,74,404,478,Conversation log
36362,ChatGPT,537,249,786,Conversation log
36371,ChatGPT,0,0,0,Conversation log
36385,GPT-4,567,416,983,Conversation log
36435,ChatGPT,14,203,217,Conversation log
36447,GPT-4,995,454,1449,Conversation log
36471,ChatGPT,836,701,1537,Conversation log
36479,ChatGPT,81,999,1080,Conversation log
36516,ChatGPT,477,163,640,Conversation log
36591,ChatGPT,1098,721,1819,Conversation log
36607,GPT-4,29,2,31,Conversation log
36617,ChatGPT,24,14,38,Conversation log
36626,GPT-4,1475,485,1960,Conversation log
36638,GPT-4,1025,405,1430,Conversation log
36646,GPT-4,391,25,416,Conversation log
36647,ChatGPT,48,11,59,Conversation log
36660,ChatGPT,69,14,83,Conversation log
36665,ChatGPT,36,370,406,Conversation log
36673,GPT-4,347,147,494,Conversation log
36700,ChatGPT,1847,1362,3209,Conversation log
36701,GPT-4,510,599,1109,Conversation log
36716,ChatGPT,20,606,626,Conversation log
36738,ChatGPT,20,171,191,Conversation log
36754,ChatGPT,0,0,0,Conversation log
36758,ChatGPT,0,0,0,Conversation log
36789,ChatGPT,26,23,49,Conversation log
36791,ChatGPT,299,20,319,Conversation log
36804,GPT-4,1995,663,2658,Conversation log
36805,ChatGPT,59,31,90,Conversation log
36836,ChatGPT,1365,214,1579,Conversation log
36850,ChatGPT,1595,354,1949,Conversation log
36868,GPT-4,500,238,738,Conversation log
36883,ChatGPT,51,1442,1493,Conversation log
36915,GPT-4,2126,379,2505,Conversation log
36922,ChatGPT,33,81,114,Conversation log
36968,ChatGPT,79,59,138,Conversation log
36989,GPT-4,145,45,190,Conversation log
36990,ChatGPT,118,24,142,Conversation log
36993,ChatGPT,222,43,265,Conversation log
36997,ChatGPT,21,387,408,Conversation log
37000,GPT-4,752,280,1032,Conversation log
37006,ChatGPT,158,104,262,Conversation log
37008,ChatGPT,170,14,184,Conversation log
37053,ChatGPT,290,90,380,Conversation log
37081,ChatGPT,601,327,928,Conversation log
37106,GPT-4,29,213,242,Conversation log
37117,GPT-4,112,110,222,Conversation log
37140,ChatGPT,50,962,1012,Conversation log
37148,ChatGPT,733,311,1044,Conversation log
37178,ChatGPT,9,9,18,Conversation log
37182,ChatGPT,40,11,51,Conversation log
37183,GPT-4,41,552,593,Conversation log
37189,ChatGPT,1544,1421,2965,Conversation log
37198,GPT-4,28,231,259,Conversation log
37201,ChatGPT,24,443,467,Conversation log
37218,ChatGPT,657,1011,1668,Conversation log
37228,ChatGPT,60,46,106,Conversation log
37235,GPT-4,275,225,500,Conversation log
37236,ChatGPT,0,0,0,Conversation log
37243,ChatGPT,0,0,0,Conversation log
37255,ChatGPT,50,1143,1193,Conversation log
37272,GPT-4,251,23,274,Conversation log
37274,GPT-4,18,70,88,Conversation log
37274,ChatGPT,67,58,125,Conversation log
